__time,/vrpn_client_node/turtlebot7/pose/header/stamp,/vrpn_client_node/turtlebot7/pose/pose/orientation/pitch_deg,/vrpn_client_node/turtlebot7/pose/pose/orientation/roll_deg,/vrpn_client_node/turtlebot7/pose/pose/orientation/w,/vrpn_client_node/turtlebot7/pose/pose/orientation/x,/vrpn_client_node/turtlebot7/pose/pose/orientation/y,/vrpn_client_node/turtlebot7/pose/pose/orientation/yaw_deg,/vrpn_client_node/turtlebot7/pose/pose/orientation/z,/vrpn_client_node/turtlebot7/pose/pose/position/x,/vrpn_client_node/turtlebot7/pose/pose/position/y,/vrpn_client_node/turtlebot7/pose/pose/position/z
1690687396.458217,1689261895.822677,2.238203,0.443788,-0.104646,0.019019,-0.005894,167.992713,-0.994310,3.466341,5.950249,0.180930
1690687396.466405,1689261895.830884,2.240583,0.445478,-0.104627,0.019038,-0.005910,167.994955,-0.994312,3.466346,5.950244,0.180938
1690687396.474404,1689261895.839111,2.233479,0.444577,-0.104609,0.018977,-0.005895,167.996959,-0.994315,3.466341,5.950246,0.180934
1690687396.483117,1689261895.847525,2.244764,0.448744,-0.104662,0.019071,-0.005943,167.991012,-0.994307,3.466341,5.950232,0.180929
1690687396.491724,1689261895.856081,2.246598,0.448323,-0.104742,0.019087,-0.005942,167.981773,-0.994299,3.466340,5.950222,0.180928
1690687396.499684,1689261895.864109,2.242372,0.444903,-0.104730,0.019053,-0.005909,167.983088,-0.994301,3.466337,5.950215,0.180946
1690687396.516913,1689261895.881137,2.236946,0.444265,-0.104678,0.019007,-0.005897,167.989064,-0.994307,3.466342,5.950220,0.180932
1690687396.524810,1689261895.889196,2.237113,0.437583,-0.104537,0.019015,-0.005837,168.005209,-0.994322,3.466332,5.950231,0.180948
1690687396.532684,1689261895.897475,2.233147,0.437771,-0.104516,0.018981,-0.005834,168.007643,-0.994325,3.466325,5.950220,0.180939
1690687396.549832,1689261895.914269,2.233152,0.444132,-0.104568,0.018975,-0.005890,168.001736,-0.994319,3.466336,5.950243,0.180943
1690687396.550482,1689261895.914373,2.232956,0.450304,-0.104695,0.018967,-0.005946,167.987189,-0.994306,3.466336,5.950240,0.180943
1690687396.566353,1689261895.930833,2.236871,0.450356,-0.104671,0.019001,-0.005950,167.990014,-0.994308,3.466340,5.950243,0.180950
1690687396.574801,1689261895.939173,2.233450,0.452169,-0.104661,0.018970,-0.005962,167.991134,-0.994309,3.466346,5.950248,0.180933
1690687396.583070,1689261895.947523,2.230204,0.444536,-0.104579,0.018949,-0.005891,168.000501,-0.994319,3.466347,5.950242,0.180936
1690687396.591607,1689261895.955883,2.238860,0.444181,-0.104560,0.019024,-0.005896,168.002670,-0.994319,3.466333,5.950242,0.180934
1690687396.608202,1689261895.972774,2.241860,0.444575,-0.104682,0.019049,-0.005904,167.988605,-0.994306,3.466336,5.950236,0.180941
1690687396.616590,1689261895.981294,2.236275,0.453312,-0.104669,0.018993,-0.005975,167.990225,-0.994308,3.466334,5.950234,0.180940
1690687396.623984,1689261895.989116,2.242340,0.450874,-0.104704,0.019048,-0.005960,167.986181,-0.994303,3.466340,5.950222,0.180928
1690687396.632712,1689261895.997544,2.239490,0.451031,-0.104706,0.019023,-0.005959,167.985975,-0.994303,3.466331,5.950233,0.180935
1690687396.641782,1689261896.006111,2.238912,0.440041,-0.104597,0.019028,-0.005861,167.998288,-0.994315,3.466323,5.950226,0.180943
1690687396.657932,1689261896.022524,2.231897,0.440737,-0.104614,0.018967,-0.005861,167.996327,-0.994315,3.466322,5.950232,0.180933
1690687396.666219,1689261896.030877,2.235191,0.448339,-0.104635,0.018988,-0.005930,167.994136,-0.994312,3.466327,5.950231,0.180934
1690687396.674579,1689261896.039193,2.224239,0.442796,-0.104563,0.018899,-0.005871,168.002247,-0.994321,3.466333,5.950245,0.180944
1690687396.683085,1689261896.047526,2.232233,0.448634,-0.104621,0.018962,-0.005930,167.995727,-0.994314,3.466335,5.950244,0.180943
1690687396.691088,1689261896.055785,2.231718,0.457495,-0.104657,0.018950,-0.006007,167.991767,-0.994310,3.466346,5.950250,0.180941
1690687396.708383,1689261896.072752,2.231215,0.460727,-0.104742,0.018942,-0.006036,167.981940,-0.994301,3.466350,5.950247,0.180934
1690687396.716707,1689261896.080879,2.237233,0.448654,-0.104634,0.019006,-0.005935,167.994248,-0.994312,3.466343,5.950252,0.180949
1690687396.724900,1689261896.089436,2.233413,0.442873,-0.104610,0.018978,-0.005881,167.996901,-0.994315,3.466336,5.950239,0.180935
1690687396.732990,1689261896.097551,2.245710,0.445121,-0.104649,0.019082,-0.005912,167.992394,-0.994309,3.466326,5.950232,0.180940
1690687396.741471,1689261896.105894,2.241203,0.446652,-0.104679,0.019042,-0.005922,167.988955,-0.994306,3.466341,5.950236,0.180940
1690687396.758195,1689261896.122794,2.237468,0.449620,-0.104726,0.019006,-0.005945,167.983669,-0.994302,3.466344,5.950235,0.180947
1690687396.766256,1689261896.130862,2.234182,0.444041,-0.104612,0.018984,-0.005891,167.996621,-0.994314,3.466334,5.950223,0.180943
1690687396.774768,1689261896.139185,2.236069,0.451964,-0.104658,0.018992,-0.005963,167.991520,-0.994309,3.466335,5.950228,0.180926
1690687396.783376,1689261896.147735,2.229855,0.444772,-0.104597,0.018945,-0.005894,167.998345,-0.994317,3.466337,5.950234,0.180943
