__time,/vrpn_client_node/turtlebot7/pose/header/stamp,/vrpn_client_node/turtlebot7/pose/pose/orientation/pitch_deg,/vrpn_client_node/turtlebot7/pose/pose/orientation/roll_deg,/vrpn_client_node/turtlebot7/pose/pose/orientation/w,/vrpn_client_node/turtlebot7/pose/pose/orientation/x,/vrpn_client_node/turtlebot7/pose/pose/orientation/y,/vrpn_client_node/turtlebot7/pose/pose/orientation/yaw_deg,/vrpn_client_node/turtlebot7/pose/pose/orientation/z,/vrpn_client_node/turtlebot7/pose/pose/position/x,/vrpn_client_node/turtlebot7/pose/pose/position/y,/vrpn_client_node/turtlebot7/pose/pose/position/z
1690687175.937001,1689261204.849259,2.262230,0.994624,0.035620,-0.019420,0.009372,175.936058,0.999133,3.325305,5.879625,0.178021
1690687175.945711,1689261204.858207,2.270253,0.985853,0.035500,-0.019493,0.009296,175.949678,0.999136,3.325292,5.879627,0.178034
1690687175.953246,1689261204.866071,2.268923,0.992265,0.035476,-0.019480,0.009351,175.952568,0.999137,3.325284,5.879622,0.178026
1690687175.961986,1689261204.874642,2.266501,0.996502,0.035536,-0.019457,0.009388,175.945785,0.999135,3.325285,5.879624,0.178034
1690687175.970453,1689261204.883017,2.284779,0.995342,0.035539,-0.019617,0.009384,175.945573,0.999132,3.325288,5.879608,0.178029
1690687175.978168,1689261204.890906,2.268250,0.988051,0.035548,-0.019475,0.009316,175.944210,0.999135,3.325289,5.879589,0.178034
1690687175.995073,1689261204.907584,2.271272,0.988312,0.035545,-0.019501,0.009319,175.944636,0.999134,3.325282,5.879591,0.178014
1690687176.003703,1689261204.915917,2.267957,0.990796,0.035666,-0.019470,0.009342,175.930777,0.999130,3.325293,5.879588,0.178021
1690687176.011675,1689261204.924352,2.266034,0.983328,0.035592,-0.019456,0.009275,175.939139,0.999134,3.325283,5.879589,0.178033
1690687176.020400,1689261204.932813,2.277107,0.996553,0.035657,-0.019548,0.009394,175.931944,0.999129,3.325285,5.879596,0.178026
1690687176.029045,1689261204.940869,2.267001,0.987784,0.035529,-0.019464,0.009312,175.946435,0.999136,3.325288,5.879603,0.178030
1690687176.045279,1689261204.957835,2.271242,0.990691,0.035563,-0.019500,0.009340,175.942621,0.999134,3.325288,5.879616,0.178026
1690687176.053862,1689261204.966243,2.268719,0.987121,0.035442,-0.019480,0.009306,175.956436,0.999139,3.325288,5.879626,0.178029
1690687176.061512,1689261204.974190,2.275598,0.995142,0.035542,-0.019537,0.009379,175.945109,0.999133,3.325294,5.879629,0.178034
1690687176.069952,1689261204.982789,2.268636,1.003091,0.035587,-0.019473,0.009448,175.940063,0.999132,3.325298,5.879626,0.178020
1690687176.086943,1689261204.999236,2.275118,0.994668,0.035523,-0.019533,0.009375,175.947295,0.999134,3.325297,5.879630,0.178030
1690687176.095061,1689261205.007645,2.267413,0.993092,0.035541,-0.019466,0.009359,175.945198,0.999135,3.325291,5.879612,0.178028
1690687176.103873,1689261205.015994,2.263146,0.982515,0.035526,-0.019432,0.009265,175.946661,0.999137,3.325291,5.879601,0.178028
1690687176.112127,1689261205.024541,2.265862,0.985329,0.035546,-0.019455,0.009291,175.944368,0.999135,3.325295,5.879592,0.178034
1690687176.119832,1689261205.032565,2.276431,0.989023,0.035585,-0.019545,0.009327,175.940076,0.999132,3.325279,5.879599,0.178028
1690687176.136830,1689261205.049534,2.266114,0.989857,0.035568,-0.019455,0.009331,175.942027,0.999134,3.325293,5.879595,0.178026
1690687176.308300,1689261205.157992,2.275622,1.001057,0.035535,-0.019535,0.009431,175.946072,0.999133,3.325290,5.879626,0.178019
1690687176.308413,1689261205.158053,2.272883,0.992085,0.035447,-0.019515,0.009350,175.956004,0.999137,3.325286,5.879638,0.178019
1690687176.308456,1689261205.158133,2.274095,0.986411,0.035609,-0.019526,0.009304,175.937249,0.999132,3.325285,5.879592,0.178029
1690687176.308526,1689261205.165978,2.267486,0.985920,0.035622,-0.019468,0.009298,175.935675,0.999132,3.325284,5.879586,0.178026
1690687176.308558,1689261205.174578,2.267794,0.982726,0.035555,-0.019472,0.009269,175.943339,0.999135,3.325290,5.879601,0.178029
1690687176.308608,1689261205.182636,2.264129,0.980983,0.035528,-0.019441,0.009252,175.946414,0.999137,3.325296,5.879603,0.178042
1690687176.308679,1689261205.190947,2.271023,0.993304,0.035557,-0.019497,0.009362,175.943382,0.999134,3.325286,5.879617,0.178041
1690687176.308737,1689261205.207869,2.274954,0.993527,0.035571,-0.019531,0.009366,175.941733,0.999132,3.325288,5.879620,0.178021
1690687176.308804,1689261205.216272,2.276172,1.002450,0.035577,-0.019539,0.009444,175.941252,0.999131,3.325289,5.879629,0.178029
1690687176.311167,1689261205.224254,2.272628,0.993677,0.035487,-0.019512,0.009365,175.951434,0.999136,3.325297,5.879618,0.178021
1690687176.319987,1689261205.232880,2.270054,0.999296,0.035608,-0.019486,0.009415,175.937645,0.999132,3.325292,5.879631,0.178012
1690687176.328171,1689261205.241019,2.271360,0.995053,0.035533,-0.019500,0.009377,175.946080,0.999134,3.325301,5.879615,0.178032
1690687176.345639,1689261205.257662,2.264890,0.995117,0.035609,-0.019443,0.009377,175.937383,0.999133,3.325294,5.879610,0.178023
1690687176.353768,1689261205.265996,2.270422,0.992377,0.035595,-0.019492,0.009355,175.938906,0.999132,3.325297,5.879610,0.178015
1690687176.361770,1689261205.274550,2.269628,0.994350,0.035596,-0.019484,0.009372,175.938857,0.999132,3.325284,5.879602,0.178038
1690687176.369869,1689261205.282624,2.276074,0.984868,0.035495,-0.019544,0.009289,175.950277,0.999135,3.325299,5.879595,0.178036
1690687176.387003,1689261205.299552,2.272486,0.991788,0.035618,-0.019510,0.009351,175.936382,0.999131,3.325287,5.879591,0.178031
1690687176.395128,1689261205.307891,2.263288,0.984466,0.035488,-0.019433,0.009282,175.950976,0.999138,3.325282,5.879602,0.178029
1690687176.403306,1689261205.315993,2.268494,0.994031,0.035540,-0.019475,0.009368,175.945332,0.999135,3.325280,5.879599,0.178037
1690687176.411829,1689261205.324336,2.268172,0.992147,0.035573,-0.019473,0.009352,175.941410,0.999134,3.325284,5.879624,0.178036
1690687176.420106,1689261205.332871,2.269638,0.995023,0.035551,-0.019485,0.009377,175.944050,0.999134,3.325302,5.879609,0.178014
1690687176.436772,1689261205.349359,2.262141,0.989634,0.035426,-0.019422,0.009325,175.958218,0.999140,3.325291,5.879630,0.178035
1690687176.445220,1689261205.357665,2.268516,0.991082,0.035488,-0.019477,0.009341,175.951191,0.999137,3.325278,5.879620,0.178039
1690687176.453657,1689261205.366171,2.270782,0.993956,0.035451,-0.019496,0.009366,175.955477,0.999137,3.325287,5.879624,0.178020
1690687176.461505,1689261205.374403,2.270623,0.995561,0.035593,-0.019493,0.009383,175.939237,0.999132,3.325296,5.879621,0.178028
1690687176.469421,1689261205.382560,2.271917,0.989510,0.035546,-0.019506,0.009329,175.944532,0.999134,3.325294,5.879611,0.178031
1690687176.478127,1689261205.390960,2.264692,0.981512,0.035582,-0.019445,0.009258,175.940239,0.999135,3.325305,5.879587,0.178038
1690687176.495092,1689261205.407852,2.267918,0.985417,0.035586,-0.019472,0.009293,175.939853,0.999134,3.325295,5.879600,0.178041
1690687176.503505,1689261205.416203,2.275013,0.992093,0.035563,-0.019532,0.009353,175.942618,0.999133,3.325300,5.879591,0.178015
1690687176.512491,1689261205.424532,2.273506,0.989555,0.035561,-0.019520,0.009331,175.942873,0.999133,3.325288,5.879601,0.178028
1690687176.528473,1689261205.441189,2.256197,0.975254,0.035529,-0.019374,0.009200,175.946104,0.999139,3.325299,5.879586,0.178037
1690687176.536716,1689261205.449337,2.265919,0.995981,0.035643,-0.019451,0.009386,175.933509,0.999131,3.325289,5.879609,0.178028
1690687176.544806,1689261205.457674,2.267074,0.993249,0.035541,-0.019463,0.009360,175.945194,0.999135,3.325301,5.879616,0.178038
1690687176.553361,1689261205.466215,2.264715,0.989040,0.035434,-0.019445,0.009321,175.957282,0.999139,3.325302,5.879617,0.178026
1690687176.561461,1689261205.474365,2.274509,0.994104,0.035516,-0.019528,0.009370,175.948091,0.999134,3.325286,5.879638,0.178019
1690687176.569838,1689261205.482625,2.264642,0.992247,0.035492,-0.019443,0.009350,175.950728,0.999137,3.325289,5.879626,0.178029
1690687176.586293,1689261205.499310,2.267725,0.995092,0.035551,-0.019468,0.009377,175.944025,0.999134,3.325285,5.879623,0.178034
1690687176.594495,1689261205.507550,2.272595,0.992718,0.035632,-0.019510,0.009359,175.934717,0.999131,3.325293,5.879609,0.178027
1690687176.602959,1689261205.515894,2.272415,0.990550,0.035572,-0.019510,0.009339,175.941600,0.999133,3.325300,5.879600,0.178032
1690687176.611701,1689261205.524547,2.264005,0.977424,0.035443,-0.019442,0.009220,175.956000,0.999140,3.325295,5.879591,0.178038
1690687176.620130,1689261205.532896,2.271464,0.986250,0.035631,-0.019503,0.009302,175.934768,0.999131,3.325285,5.879574,0.178021
1690687176.637476,1689261205.549579,2.266843,0.989263,0.035515,-0.019462,0.009325,175.948037,0.999136,3.325293,5.879601,0.178024
1690687176.645335,1689261205.558036,2.268604,0.993373,0.035602,-0.019476,0.009363,175.938195,0.999132,3.325290,5.879592,0.178034
1690687176.653407,1689261205.566206,2.270165,0.997628,0.035574,-0.019488,0.009400,175.941445,0.999133,3.325286,5.879617,0.178034
1690687176.661665,1689261205.574339,2.263136,0.984905,0.035536,-0.019431,0.009286,175.945574,0.999136,3.325287,5.879618,0.178038
1690687176.669757,1689261205.582625,2.275788,0.996475,0.035544,-0.019538,0.009391,175.944962,0.999133,3.325292,5.879629,0.178032
1690687176.678941,1689261205.591272,2.269217,0.994089,0.035559,-0.019481,0.009369,175.943114,0.999134,3.325295,5.879621,0.178021
1690687176.695118,1689261205.607872,2.269393,0.989237,0.035395,-0.019486,0.009323,175.961834,0.999140,3.325282,5.879619,0.178036
1690687176.703344,1689261205.616199,2.273995,0.996176,0.035529,-0.019523,0.009388,175.946656,0.999134,3.325289,5.879619,0.178029
1690687176.711717,1689261205.624528,2.268636,0.992513,0.035489,-0.019477,0.009353,175.951066,0.999137,3.325301,5.879602,0.178035
1690687176.719473,1689261205.632612,2.263908,0.986376,0.035534,-0.019438,0.009299,175.945831,0.999136,3.325293,5.879604,0.178031
1690687176.737303,1689261205.649540,2.277984,0.994876,0.035584,-0.019557,0.009379,175.940333,0.999131,3.325288,5.879591,0.178026
1690687176.745038,1689261205.657886,2.268434,0.979919,0.035485,-0.019479,0.009243,175.951274,0.999138,3.325279,5.879585,0.178035
1690687176.753196,1689261205.665917,2.266158,0.984451,0.035522,-0.019458,0.009283,175.947175,0.999136,3.325293,5.879595,0.178033
1690687176.761551,1689261205.674335,2.263082,0.978752,0.035515,-0.019433,0.009232,175.947767,0.999138,3.325279,5.879598,0.178038
1690687176.778338,1689261205.690968,2.266792,0.988215,0.035602,-0.019461,0.009318,175.938014,0.999133,3.325289,5.879592,0.178029
1690687176.778491,1689261205.691022,2.264991,0.987857,0.035531,-0.019447,0.009313,175.946119,0.999136,3.325293,5.879611,0.178036
1690687176.794984,1689261205.707847,2.274625,0.989491,0.035485,-0.019530,0.009329,175.951563,0.999136,3.325289,5.879614,0.178035
1690687176.803396,1689261205.716314,2.271078,0.999410,0.035548,-0.019496,0.009415,175.944505,0.999133,3.325280,5.879630,0.178030
1690687176.811601,1689261205.724400,2.277455,1.002653,0.035560,-0.019550,0.009446,175.943221,0.999132,3.325288,5.879629,0.178035
1690687176.828855,1689261205.741549,2.268960,0.991762,0.035517,-0.019480,0.009347,175.947929,0.999136,3.325290,5.879621,0.178028
1690687176.829270,1689261205.741611,2.270929,0.987805,0.035472,-0.019499,0.009313,175.952973,0.999137,3.325295,5.879616,0.178031
1690687176.844831,1689261205.757710,2.262147,0.990391,0.035562,-0.019421,0.009334,175.942589,0.999135,3.325290,5.879607,0.178025
1690687176.853048,1689261205.766023,2.272878,0.987132,0.035549,-0.019515,0.009309,175.944209,0.999134,3.325282,5.879599,0.178034
1690687176.861552,1689261205.774561,2.267432,0.988858,0.035631,-0.019467,0.009324,175.934726,0.999132,3.325295,5.879576,0.178025
1690687176.878040,1689261205.791020,2.270905,0.990387,0.035613,-0.019497,0.009338,175.936897,0.999132,3.325285,5.879592,0.178033
1690687176.886803,1689261205.799694,2.271532,0.986060,0.035585,-0.019504,0.009300,175.939979,0.999133,3.325280,5.879598,0.178030
1690687176.894924,1689261205.807871,2.266616,0.981966,0.035508,-0.019463,0.009261,175.948711,0.999137,3.325284,5.879598,0.178037
1690687176.903400,1689261205.816284,2.260909,0.985143,0.035536,-0.019412,0.009288,175.945473,0.999137,3.325290,5.879602,0.178028
1690687176.911967,1689261205.824645,2.275307,0.994800,0.035582,-0.019534,0.009377,175.940514,0.999132,3.325289,5.879613,0.178032
1690687176.921033,1689261205.832886,2.264355,0.986050,0.035443,-0.019442,0.009295,175.956208,0.999139,3.325289,5.879621,0.178031
1690687176.937235,1689261205.849422,2.274178,0.997764,0.035558,-0.019523,0.009402,175.943313,0.999133,3.325299,5.879621,0.178032
1690687176.944537,1689261205.857596,2.270623,0.991587,0.035450,-0.019495,0.009345,175.955523,0.999138,3.325290,5.879617,0.178027
1690687176.953303,1689261205.866039,2.275882,0.993178,0.035462,-0.019541,0.009361,175.954280,0.999136,3.325282,5.879618,0.178018
1690687176.961559,1689261205.874404,2.264556,0.987487,0.035483,-0.019443,0.009308,175.951714,0.999138,3.325301,5.879606,0.178032
1690687176.970122,1689261205.882787,2.273733,0.992070,0.035508,-0.019522,0.009351,175.948979,0.999135,3.325286,5.879602,0.178034
1690687176.986362,1689261205.899307,2.268670,0.986710,0.035524,-0.019479,0.009304,175.947015,0.999136,3.325299,5.879583,0.178029
1690687176.994776,1689261205.907628,2.273435,0.984650,0.035542,-0.019521,0.009287,175.944942,0.999134,3.325281,5.879589,0.178025
1690687177.003273,1689261205.916187,2.264792,0.987264,0.035566,-0.019445,0.009308,175.942180,0.999135,3.325288,5.879594,0.178035
1690687177.011567,1689261205.924531,2.276244,0.992460,0.035636,-0.019542,0.009358,175.934316,0.999130,3.325285,5.879592,0.178017
1690687177.019929,1689261205.932888,2.264811,0.983312,0.035475,-0.019447,0.009272,175.952542,0.999138,3.325291,5.879593,0.178032
1690687177.027959,1689261205.940986,2.270184,0.990652,0.035490,-0.019491,0.009338,175.950926,0.999136,3.325300,5.879612,0.178036
1690687177.045511,1689261205.957894,2.264131,0.991904,0.035541,-0.019438,0.009348,175.945103,0.999135,3.325291,5.879609,0.178013
1690687177.053311,1689261205.966396,2.270377,0.993786,0.035503,-0.019492,0.009365,175.949542,0.999136,3.325304,5.879621,0.178029
1690687177.062299,1689261205.974767,2.267081,0.986208,0.035420,-0.019466,0.009297,175.958943,0.999140,3.325295,5.879633,0.178033
1690687177.069339,1689261205.982554,2.266202,0.994114,0.035526,-0.019455,0.009367,175.946866,0.999135,3.325290,5.879623,0.178025
1690687177.078318,1689261205.990946,2.268766,0.993818,0.035596,-0.019477,0.009367,175.938846,0.999133,3.325287,5.879616,0.178031
1690687177.094681,1689261206.007578,2.269349,0.990491,0.035542,-0.019484,0.009337,175.945025,0.999135,3.325283,5.879604,0.178031
1690687177.102916,1689261206.016008,2.270498,0.984185,0.035474,-0.019496,0.009281,175.952624,0.999137,3.325293,5.879599,0.178032
1690687177.111506,1689261206.024541,2.271852,0.985440,0.035537,-0.019507,0.009294,175.945450,0.999135,3.325283,5.879599,0.178032
1690687177.119763,1689261206.032821,2.270730,0.988185,0.035576,-0.019496,0.009318,175.941075,0.999133,3.325288,5.879589,0.178020
1690687177.136973,1689261206.049689,2.269069,0.991621,0.035579,-0.019480,0.009348,175.940790,0.999133,3.325288,5.879593,0.178027
1690687177.144999,1689261206.057885,2.268739,0.977489,0.035468,-0.019483,0.009222,175.953248,0.999138,3.325282,5.879610,0.178048
1690687177.152995,1689261206.065996,2.269957,0.993034,0.035557,-0.019488,0.009360,175.943294,0.999134,3.325276,5.879603,0.178037
1690687177.161289,1689261206.074335,2.261589,0.990813,0.035587,-0.019415,0.009338,175.939819,0.999134,3.325306,5.879617,0.178020
1690687177.169589,1689261206.082632,2.265719,0.993430,0.035527,-0.019451,0.009361,175.946774,0.999136,3.325296,5.879617,0.178025
1690687177.186525,1689261206.099303,2.266190,0.991073,0.035515,-0.019456,0.009341,175.948102,0.999136,3.325287,5.879622,0.178030
1690687177.194685,1689261206.107588,2.266900,0.996999,0.035538,-0.019460,0.009393,175.945524,0.999135,3.325289,5.879622,0.178026
1690687177.203116,1689261206.115990,2.271704,0.998518,0.035575,-0.019501,0.009408,175.941360,0.999132,3.325277,5.879624,0.178044
1690687177.212037,1689261206.124915,2.267785,0.992961,0.035497,-0.019470,0.009357,175.950138,0.999136,3.325290,5.879607,0.178024
1690687177.219465,1689261206.132564,2.269923,0.992422,0.035613,-0.019487,0.009355,175.936924,0.999132,3.325285,5.879595,0.178034
1690687177.228297,1689261206.141274,2.269714,0.985551,0.035550,-0.019488,0.009294,175.944008,0.999135,3.325281,5.879590,0.178026
1690687177.245214,1689261206.157875,2.267936,0.990513,0.035574,-0.019471,0.009337,175.941327,0.999134,3.325293,5.879579,0.178032
1690687177.253798,1689261206.165922,2.262399,0.985324,0.035502,-0.019425,0.009289,175.949420,0.999138,3.325284,5.879587,0.178033
1690687177.261484,1689261206.174547,2.269341,0.988800,0.035572,-0.019484,0.009323,175.941578,0.999134,3.325286,5.879601,0.178043
1690687177.270969,1689261206.183242,2.270314,0.992184,0.035537,-0.019492,0.009352,175.945607,0.999134,3.325271,5.879600,0.178045
1690687177.277839,1689261206.190948,2.265208,0.990464,0.035531,-0.019448,0.009335,175.946174,0.999136,3.325298,5.879609,0.178032
1690687177.295286,1689261206.207827,2.266870,0.985347,0.035477,-0.019464,0.009290,175.952341,0.999138,3.325289,5.879608,0.178047
1690687177.302830,1689261206.215893,2.270242,0.996934,0.035581,-0.019489,0.009394,175.940671,0.999133,3.325293,5.879609,0.178033
1690687177.311448,1689261206.224536,2.276087,0.996654,0.035476,-0.019541,0.009392,175.952772,0.999135,3.325285,5.879623,0.178040
1690687177.319878,1689261206.232649,2.272318,0.996924,0.035589,-0.019507,0.009395,175.939799,0.999132,3.325283,5.879618,0.178039
1690687177.328411,1689261206.240998,2.273648,0.989768,0.035524,-0.019522,0.009332,175.947063,0.999135,3.325285,5.879618,0.178049
1690687177.345087,1689261206.257666,2.263829,0.990760,0.035511,-0.019436,0.009337,175.948543,0.999137,3.325281,5.879603,0.178039
1690687177.353323,1689261206.265982,2.268939,0.987104,0.035566,-0.019481,0.009308,175.942224,0.999134,3.325279,5.879592,0.178033
1690687177.361742,1689261206.274330,2.271614,0.984236,0.035527,-0.019505,0.009283,175.946565,0.999135,3.325290,5.879578,0.178026
1690687177.369917,1689261206.282710,2.265181,0.988740,0.035571,-0.019448,0.009321,175.941575,0.999134,3.325282,5.879586,0.178028
1690687177.386966,1689261206.299666,2.276407,0.991417,0.035566,-0.019545,0.009348,175.942357,0.999133,3.325272,5.879585,0.178031
1690687177.394818,1689261206.307878,2.267258,0.987371,0.035487,-0.019467,0.009308,175.951253,0.999137,3.325277,5.879603,0.178023
1690687177.403085,1689261206.315979,2.265577,0.989181,0.035546,-0.019451,0.009325,175.944475,0.999135,3.325283,5.879605,0.178029
1690687177.411169,1689261206.324282,2.271464,0.994014,0.035561,-0.019501,0.009369,175.942850,0.999133,3.325292,5.879613,0.178032
1690687177.419788,1689261206.332868,2.268043,0.997713,0.035577,-0.019470,0.009400,175.941075,0.999133,3.325274,5.879620,0.178037
1690687177.436311,1689261206.349303,2.278501,0.994900,0.035567,-0.019562,0.009379,175.942338,0.999132,3.325281,5.879625,0.178038
1690687177.444777,1689261206.357876,2.267047,0.989009,0.035478,-0.019465,0.009322,175.952297,0.999137,3.325285,5.879615,0.178026
1690687177.453136,1689261206.366230,2.271126,0.983429,0.035418,-0.019502,0.009274,175.959042,0.999139,3.325274,5.879622,0.178028
1690687177.461185,1689261206.374357,2.274555,0.993379,0.035555,-0.019528,0.009364,175.943549,0.999133,3.325284,5.879598,0.178029
1690687177.470315,1689261206.383312,2.270539,0.988567,0.035520,-0.019495,0.009320,175.947546,0.999135,3.325280,5.879587,0.178041
1690687177.478314,1689261206.391387,2.271422,0.995531,0.035620,-0.019499,0.009383,175.936200,0.999131,3.325299,5.879583,0.178013
1690687177.494821,1689261206.407915,2.268715,0.983841,0.035542,-0.019480,0.009279,175.944838,0.999135,3.325284,5.879581,0.178035
1690687177.502564,1689261206.415923,2.265210,0.987810,0.035559,-0.019448,0.009313,175.942920,0.999135,3.325296,5.879575,0.178038
1690687177.511489,1689261206.424554,2.268496,0.983675,0.035533,-0.019478,0.009277,175.945919,0.999136,3.325275,5.879595,0.178048
1690687177.519791,1689261206.432886,2.272850,1.001020,0.035654,-0.019510,0.009432,175.932412,0.999129,3.325294,5.879607,0.178017
1690687177.528218,1689261206.440984,2.271333,0.992623,0.035548,-0.019500,0.009356,175.944350,0.999134,3.325289,5.879609,0.178038
1690687177.545413,1689261206.457957,2.269954,0.996736,0.035567,-0.019487,0.009392,175.942241,0.999133,3.325295,5.879611,0.178036
1690687177.553387,1689261206.466247,2.271602,0.987765,0.035516,-0.019504,0.009313,175.947896,0.999135,3.325291,5.879622,0.178037
1690687177.560913,1689261206.474263,2.262714,0.996836,0.035597,-0.019423,0.009391,175.938743,0.999133,3.325292,5.879614,0.178025
1690687177.569484,1689261206.482708,2.274128,0.991478,0.035513,-0.019525,0.009347,175.948400,0.999135,3.325284,5.879631,0.178047
1690687177.578171,1689261206.491303,2.273484,0.999265,0.035627,-0.019516,0.009416,175.935447,0.999130,3.325284,5.879615,0.178045
1690687177.594512,1689261206.507643,2.278241,0.986753,0.035464,-0.019563,0.009306,175.953995,0.999136,3.325293,5.879599,0.178028
1690687177.603109,1689261206.516215,2.276289,0.992736,0.035536,-0.019544,0.009359,175.945797,0.999134,3.325286,5.879600,0.178027
1690687177.611759,1689261206.524544,2.273944,0.987225,0.035581,-0.019524,0.009311,175.940540,0.999133,3.325279,5.879589,0.178037
1690687177.620105,1689261206.532874,2.272293,0.989585,0.035584,-0.019509,0.009331,175.940170,0.999133,3.325291,5.879591,0.178042
1690687177.638047,1689261206.549551,2.274670,0.993898,0.035605,-0.019528,0.009370,175.937874,0.999131,3.325284,5.879591,0.178034
